name,image,club_image,team,value,status,assists,team_color,old_bounties
Black Maria,https://static.wikia.nocookie.net/onepiece/images/b/be/Black_Maria_Portrait.png,,,480000000,Pirate,0,#e74c3c,
Sasaki,https://static.wikia.nocookie.net/onepiece/images/c/c6/Sasaki_Portrait.png,,,472000000,Pirate,0,#e74c3c,
Belo Betty,https://static.wikia.nocookie.net/onepiece/images/9/98/Belo_Betty_Portrait.png,,,457000000,Revolutionary,0,#2ecc71,
Tamago,https://static.wikia.nocookie.net/onepiece/images/d/d4/Tamago_Portrait.png,,,429000000,Pirate,0,#e74c3c,
Karasu,https://static.wikia.nocookie.net/onepiece/images/4/4a/Karasu_Portrait.png,,,400000000,Revolutionary,0,#2ecc71,
Ulti,https://static.wikia.nocookie.net/onepiece/images/c/cb/Ulti_Portrait.png,,,400000000,Pirate,0,#e74c3c,
Franky,https://static.wikia.nocookie.net/onepiece/images/a/a8/Franky_Portrait.png,,,394000000,Pirate,0,#e74c3c,44000000
Brook,https://static.wikia.nocookie.net/onepiece/images/3/37/Brook_Portrait.png,,,383000000,Pirate,0,#e74c3c,33000000
Pedro,https://static.wikia.nocookie.net/onepiece/images/6/6d/Pedro_Portrait.png,,,382000000,Pirate,0,#e74c3c,
Nami,https://static.wikia.nocookie.net/onepiece/images/2/26/Nami_Portrait.png,,,366000000,Pirate,0,#e74c3c,"10000000,16000000"
Capone Bege,https://static.wikia.nocookie.net/onepiece/images/2/2a/Capone_Bege_Portrait.png,,,350000000,Pirate,0,#e74c3c,"138000000,300000000"
Scratchmen Apoo,img/Scratchmen_Apoo_Post_Ellipse_Portrait.webp,,,350000000,Pirate,0,#e74c3c,198000000
Doflamingo,img/Don_Quichotte_Doflamingo_Portrait.webp,,,340000000,Warlord,0,#f39c12,
Pekoms,https://static.wikia.nocookie.net/onepiece/images/2/20/Pekoms_Portrait.png,,,330000000,Pirate,0,#e74c3c,
Cavendish,https://static.wikia.nocookie.net/onepiece/images/2/21/Cavendish_Portrait.png,,,330000000,Pirate,0,#e74c3c,280000000
Jewelry Bonney,https://static.wikia.nocookie.net/onepiece/images/7/71/Jewelry_Bonney_Portrait.png,,,320000000,Pirate,0,#e74c3c,140000000
Basil Hawkins,img/Basil_Hawkins_Post_Ellipse_Portrait.webp,,,320000000,Pirate,0,#e74c3c,249000000
Gecko Moria,https://static.wikia.nocookie.net/onepiece/images/a/ae/Gecko_Moria_Portrait.png,,,320000000,Warlord,0,#f39c12,
Lindbergh,https://static.wikia.nocookie.net/onepiece/images/d/d9/Lindbergh_Portrait.png,,,316000000,Revolutionary,0,#2ecc71,
César Clown,img/C_sar_Clown_Portrait.webp,,,300000000,Marine,0,#3498db,
Daifuku,https://static.wikia.nocookie.net/onepiece/images/d/d7/Charlotte_Daifuku_Portrait.png,,,300000000,Pirate,0,#e74c3c,
Oven,https://static.wikia.nocookie.net/onepiece/images/e/e1/Charlotte_Oven_Portrait.png,,,300000000,Pirate,0,#e74c3c,
Aksatanain,img/Aksatanain_Portrait.webp,,,300000000,Marine,0,#3498db,
Morley,https://static.wikia.nocookie.net/onepiece/images/f/f1/Morley_Portrait.png,,,293000000,Revolutionary,0,#2ecc71,
Page One,https://static.wikia.nocookie.net/onepiece/images/9/9f/Page_One_Portrait.png,,,290000000,Pirate,0,#e74c3c,
Fisher Tiger,https://static.wikia.nocookie.net/onepiece/images/4/4c/Fisher_Tiger_Portrait.png,,,230000000,Pirate,0,#e74c3c,
X Drake,https://static.wikia.nocookie.net/onepiece/images/5/5c/X_Drake_Portrait.png,,,222000000,Marine,0,#3498db,
Caribou,https://static.wikia.nocookie.net/onepiece/images/6/6a/Caribou_Portrait.png,,,210000000,Pirate,0,#e74c3c,
Squard,https://static.wikia.nocookie.net/onepiece/images/a/af/Squard_Portrait.png,,,210000000,Pirate,0,#e74c3c,
Sai,https://static.wikia.nocookie.net/onepiece/images/b/b0/Sai_Portrait.png,,,210000000,Other,0,#95a5a6,
Killer,https://static.wikia.nocookie.net/onepiece/images/d/d6/Killer_Portrait.png,,,200000000,Pirate,0,#e74c3c,162000000
Bartolomeo,https://static.wikia.nocookie.net/onepiece/images/3/35/Bartolomeo_Portrait.png,,,200000000,Pirate,0,#e74c3c,150000000
Najime Sound,img/Najime_Sound_Portrait.webp,,,200000000,Marine,0,#3498db,
Hibari,https://static.wikia.nocookie.net/onepiece/images/8/88/Hibari_Portrait.png,,,200000000,Marine,0,#3498db,
Bellamy,img/Bellamy_Post_Ellipse_Portrait.webp,,,195000000,Pirate,0,#e74c3c,55000000
Coribou,https://static.wikia.nocookie.net/onepiece/images/7/7e/Coribou_Portrait.png,,,190000000,Pirate,0,#e74c3c,
Orlumbus,https://static.wikia.nocookie.net/onepiece/images/c/c4/Orlumbus_Portrait.png,,,148000000,Pirate,0,#e74c3c,
Mont d'Or,img/Charlotte_Mont_d'Or_Portrait.webp,,,120000000,Pirate,0,#e74c3c,
Urouge,https://static.wikia.nocookie.net/onepiece/images/c/c7/Urouge_Portrait.png,,,108000000,Pirate,0,#e74c3c,
Bobbin,https://static.wikia.nocookie.net/onepiece/images/8/86/Bobbin_Portrait.png,,,105500000,Pirate,0,#e74c3c,
Hermep,img/Hermep_Portrait.webp,,,100000000,Marine,0,#3498db,
Diamante,https://static.wikia.nocookie.net/onepiece/images/3/30/Diamante_Portrait.png,,,99000000,Pirate,0,#e74c3c,
Pica,https://static.wikia.nocookie.net/onepiece/images/1/16/Pica_Portrait.png,,,99000000,Pirate,0,#e74c3c,
Trébol,img/Tr_bol_Portrait.webp,,,99000000,Pirate,0,#e74c3c,
Vito,https://static.wikia.nocookie.net/onepiece/images/7/7a/Vito_Portrait.png,,,95000000,Pirate,0,#e74c3c,
Rockstar,https://static.wikia.nocookie.net/onepiece/images/a/a3/Rockstar_Portrait.png,,,94000000,Pirate,0,#e74c3c,
Albion,https://static.wikia.nocookie.net/onepiece/images/6/65/Albion_Portrait.png,,,92000000,Pirate,0,#e74c3c,
Gotti,https://static.wikia.nocookie.net/onepiece/images/e/e5/Gotti_Portrait.png,,,90000000,Pirate,0,#e74c3c,
Lip Doughty,img/Lip_Service_Doughty_Portrait.webp,,,88000000,Pirate,0,#e74c3c,
Chadros Higelyges,https://static.wikia.nocookie.net/onepiece/images/d/da/Chadros_Higelyges_Portrait.png,,,80060000,Pirate,0,#e74c3c,
Nico Olvia,https://static.wikia.nocookie.net/onepiece/images/0/01/Nico_Olvia_Portrait.png,,,79000000,Other,0,#95a5a6,
Daz Bonez,https://static.wikia.nocookie.net/onepiece/images/7/72/Daz_Bonez_Portrait.png,,,75000000,Pirate,0,#e74c3c,
Raccoon,https://static.wikia.nocookie.net/onepiece/images/3/32/Image_Non_Disponible.png,,,75000000,Pirate,0,#e74c3c,
Gyro,https://static.wikia.nocookie.net/onepiece/images/8/84/Gyro_Portrait.png,,,73000000,Pirate,0,#e74c3c,
Doc Q,https://static.wikia.nocookie.net/onepiece/images/8/82/Doc_Q_Portrait.png,,,72000000,Pirate,0,#e74c3c,
Gambia,https://static.wikia.nocookie.net/onepiece/images/7/7e/Gambia_Portrait.png,,,67000000,Pirate,0,#e74c3c,
Suleiman,https://static.wikia.nocookie.net/onepiece/images/c/c7/Suleiman_Portrait.png,,,67000000,Pirate,0,#e74c3c,
Van Augur,https://static.wikia.nocookie.net/onepiece/images/0/07/Van_Augur_Portrait.png,,,64000000,Pirate,0,#e74c3c,
Lao G,https://static.wikia.nocookie.net/onepiece/images/b/b0/Lao_G_Portrait.png,,,61000000,Pirate,0,#e74c3c,
Devil Dias,https://static.wikia.nocookie.net/onepiece/images/6/6b/Devil_Dias_Portrait.png,,,60000000,Pirate,0,#e74c3c,
Señor Pink,img/Se_or_Pink_Portrait.webp,,,58000000,Pirate,0,#e74c3c,
Kelly Funk,https://static.wikia.nocookie.net/onepiece/images/0/0c/Kelly_Funk_Portrait.png,,,57000000,Other,0,#95a5a6,
Peachbeard,img/Barbe_Rose_Portrait.webp,,,52000000,Pirate,0,#e74c3c,
Laffitte,https://static.wikia.nocookie.net/onepiece/images/4/44/Laffitte_Portrait.png,,,42200000,Pirate,0,#e74c3c,
Roshio,https://static.wikia.nocookie.net/onepiece/images/f/fa/Roshio_Portrait.png,,,42000000,Pirate,0,#e74c3c,
Boa Sandersonia,https://static.wikia.nocookie.net/onepiece/images/6/64/Boa_Sandersonia_Portrait.png,,,40000000,Pirate,0,#e74c3c,
Boa Marigold,https://static.wikia.nocookie.net/onepiece/images/d/d8/Boa_Marigold_Portrait.png,,,40000000,Pirate,0,#e74c3c,
Sarquiss,https://static.wikia.nocookie.net/onepiece/images/1/1d/Sarquiss_Portrait.png,,,38000000,Pirate,0,#e74c3c,
Mikazuki,https://static.wikia.nocookie.net/onepiece/images/9/99/Mikazuki_Portrait.png,,,36000000,Pirate,0,#e74c3c,
Shojo,img/shojo.webp,,,36000000,Pirate,0,#e74c3c,
Bobby Funk,https://static.wikia.nocookie.net/onepiece/images/a/a0/Bobby_Funk_Portrait.png,,,36000000,Other,0,#95a5a6,
Zala,https://static.wikia.nocookie.net/onepiece/images/a/a8/Zala_Portrait.png,,,35000000,Other,0,#95a5a6,
Bentham,https://static.wikia.nocookie.net/onepiece/images/2/2b/Bentham_Portrait.png,,,32000000,Other,0,#95a5a6,
Gladius,https://static.wikia.nocookie.net/onepiece/images/c/c3/Gladius_Portrait.png,,,31000000,Pirate,0,#e74c3c,
Marianne,https://static.wikia.nocookie.net/onepiece/images/6/65/Marianne_Portrait.png,,,29000000,Other,0,#95a5a6,
Demalo Black,https://static.wikia.nocookie.net/onepiece/images/0/0e/Demalo_Black_Portrait.png,,,26000000,Pirate,0,#e74c3c,
Mont Blanc,https://static.wikia.nocookie.net/onepiece/images/b/b5/Mont_Blanc_Cricket_Portrait.png,,,25000000,Pirate,0,#e74c3c,
Foxy,https://static.wikia.nocookie.net/onepiece/images/c/cf/Foxy_Portrait.png,,,24000000,Pirate,0,#e74c3c,
Galdino,https://static.wikia.nocookie.net/onepiece/images/7/75/Galdino_Portrait.png,,,24000000,Pirate,0,#e74c3c,
Laura,img/Charlotte_Laura_Portrait.webp,,,24000000,Pirate,0,#e74c3c,
Masira,https://static.wikia.nocookie.net/onepiece/images/4/49/Masira_Portrait.png,,,23000000,Pirate,0,#e74c3c,
Jesus Burgess,https://static.wikia.nocookie.net/onepiece/images/4/4b/Jesus_Burgess_Portrait.png,,,20000000,Pirate,0,#e74c3c,
Yeti Brothers,https://static.wikia.nocookie.net/onepiece/images/0/03/Rock_Portrait.png,,,20000000,Other,0,#95a5a6,
Arlong,https://static.wikia.nocookie.net/onepiece/images/0/02/Arlong_Portrait.png,,,20000000,Pirate,0,#e74c3c,
Krieg,https://static.wikia.nocookie.net/onepiece/images/e/ee/Krieg_Portrait.png,,,17000000,Pirate,0,#e74c3c,
Lacuba,https://static.wikia.nocookie.net/onepiece/images/f/fc/Lacuba_Portrait.png,,,17000000,Pirate,0,#e74c3c,
Kuro,https://static.wikia.nocookie.net/onepiece/images/1/16/Kuro_Portrait.png,,,16000000,Pirate,0,#e74c3c,
Dellinger,https://static.wikia.nocookie.net/onepiece/images/e/ed/Dellinger_Portrait.png,,,15000000,Pirate,0,#e74c3c,
Bluejam,https://static.wikia.nocookie.net/onepiece/images/8/87/Bluejam_Portrait.png,,,14300000,Pirate,0,#e74c3c,
Drophy,https://static.wikia.nocookie.net/onepiece/images/d/da/Drophy_Portrait.png,,,14000000,Pirate,0,#e74c3c,
Gin,https://static.wikia.nocookie.net/onepiece/images/9/9f/Gin_Portrait.png,,,12000000,Pirate,0,#e74c3c,
Machvise,https://static.wikia.nocookie.net/onepiece/images/5/5f/Machvise_Portrait.png,,,11000000,Pirate,0,#e74c3c,
Gem,https://static.wikia.nocookie.net/onepiece/images/0/09/Gem_Portrait.png,,,10000000,Other,0,#95a5a6,
Wellington,https://static.wikia.nocookie.net/onepiece/images/c/c3/Wellington_Portrait.png,,,10000000,Pirate,0,#e74c3c,
Jango,https://static.wikia.nocookie.net/onepiece/images/b/b6/Jango_Pirate_Portrait.png,,,9000000,Marine,0,#3498db,
Kuroobi,https://static.wikia.nocookie.net/onepiece/images/4/45/Kuroobi_Portrait.png,,,9000000,Pirate,0,#e74c3c,
Higuma,https://static.wikia.nocookie.net/onepiece/images/7/75/Higuma_Portrait.png,,,8000000,Other,0,#95a5a6,
Octo,img/Octo_Portrait.webp,,,8000000,Pirate,0,#e74c3c,
Curly Dadan,https://static.wikia.nocookie.net/onepiece/images/d/d2/Curly_Dadan_Portrait.png,,,7800000,Other,0,#95a5a6,
Mikita,https://static.wikia.nocookie.net/onepiece/images/b/b0/Mikita_Portrait.png,,,7500000,Other,0,#95a5a6,
Sham,https://static.wikia.nocookie.net/onepiece/images/5/55/Sham_Portrait.png,,,7000000,Pirate,0,#e74c3c,
Smack,img/Smack_Portrait.webp,,,5500000,Pirate,0,#e74c3c,
Alvida,https://static.wikia.nocookie.net/onepiece/images/9/95/Alvida_Portrait.png,,,5000000,Pirate,0,#e74c3c,
Porchemy,https://static.wikia.nocookie.net/onepiece/images/6/65/Porchemy_Portrait.png,,,3400000,Pirate,0,#e74c3c,
Babe,https://static.wikia.nocookie.net/onepiece/images/d/d2/Babe_Portrait.png,,,3200000,Marine,0,#3498db,
Bepo,https://static.wikia.nocookie.net/onepiece/images/7/7c/Bepo_Portrait.png,,,1500,Pirate,0,#e74c3c,
Chopper,https://static.wikia.nocookie.net/onepiece/images/8/84/Tony_Tony_Chopper_Portrait.png,,,1000,Pirate,0,#e74c3c,
