name,image,club_image,team,value,status,assists,team_color,goal
Jingo Raichi,https://static.wikia.nocookie.net/bluelock/images/5/5c/Jingo_Raichi.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,27000000,Qualified,,#ac0002
Mensah,https://static.wikia.nocookie.net/bluelock/images/7/7b/Mensah_.webp,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,28000000,,,#ac0002
Gen Fukaku,https://static.wikia.nocookie.net/bluelock/images/4/44/Gen_Fukaku.png,https://static.wikia.nocookie.net/bluelock/images/5/5c/Ubers_Official_Logo.png,Ubers,28000000,Qualified,,#bbbbbb
Zantetsu Tsurugi,https://static.wikia.nocookie.net/bluelock/images/3/39/Zantetsu_Tsurugi.png,https://static.wikia.nocookie.net/bluelock/images/c/cf/Paris_X_Gen_Official_Logo.png,Paris X Gen,33000000,Qualified,Only played 1 match,#294c7f
Ranze Kurona,https://static.wikia.nocookie.net/bluelock/images/a/ae/Ranze_Kurona.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,35000000,Qualified,,#ac0002
Shuto Sendo,https://static.wikia.nocookie.net/bluelock/images/1/19/Shuto_Sendo.png,https://static.wikia.nocookie.net/bluelock/images/5/5c/Ubers_Official_Logo.png,Ubers,37000000,Qualified,,#bbbbbb
Yo Hiori,https://static.wikia.nocookie.net/bluelock/images/6/65/Yo_Hiori.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,39000000,Qualified,,#ac0002
Ikki Niko,https://static.wikia.nocookie.net/bluelock/images/a/a4/Ikki_Niko.png,https://static.wikia.nocookie.net/bluelock/images/5/5c/Ubers_Official_Logo.png,Ubers,40000000,Qualified,,#bbbbbb
Benedict Grim,https://static.wikia.nocookie.net/bluelock/images/b/b0/Benedict_Grim.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,40000000,,,#ac0002
Kenyu Yukimiya,https://static.wikia.nocookie.net/bluelock/images/7/73/Kenyu_Yukimiya.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,42000000,Qualified,,#ac0002
Jyubei Aryu,https://static.wikia.nocookie.net/bluelock/images/4/40/Jyubei_Aryu.png,https://static.wikia.nocookie.net/bluelock/images/5/5c/Ubers_Official_Logo.png,Ubers,45000000,Qualified,,#bbbbbb
Gin Gagamaru,https://static.wikia.nocookie.net/bluelock/images/7/79/Gin_Gagamaru.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,50000000,Qualified,,#ac0002
Tabito Karasu,https://static.wikia.nocookie.net/bluelock/images/4/4b/Tabito_Karasu.png,https://static.wikia.nocookie.net/bluelock/images/c/cf/Paris_X_Gen_Official_Logo.png,Paris X Gen,55000000,Qualified,,#294c7f
Oliver Aiku,https://static.wikia.nocookie.net/bluelock/images/f/fc/Oliver_Aiku.png,https://static.wikia.nocookie.net/bluelock/images/5/5c/Ubers_Official_Logo.png,Ubers,60000000,Qualified,,#bbbbbb
Eita Otoya,https://static.wikia.nocookie.net/bluelock/images/2/23/Eita_Otoya.png,https://static.wikia.nocookie.net/bluelock/images/4/4a/Barcha_Official_Logo.png,FC Barcha,63000000,Qualified,,#a4a203
Rensuke Kunigami,https://static.wikia.nocookie.net/bluelock/images/8/87/Rensuke_Kunigami.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,66000000,Qualified,,#ac0002
Reo Mikage,https://static.wikia.nocookie.net/bluelock/images/4/40/Reo_Mikage.png,https://static.wikia.nocookie.net/bluelock/images/9/99/Manshine_City_Official_Logo.png,Manshine City,78000000,Qualified,,#497f9e
Agi,https://static.wikia.nocookie.net/bluelock/images/5/5c/Agi.png,https://static.wikia.nocookie.net/bluelock/images/9/99/Manshine_City_Official_Logo.png,Manshine City,80000000,Qualified,,#497f9e
Hyoma Chigiri,https://static.wikia.nocookie.net/bluelock/images/f/f5/Hyoma_Chigiri.png,https://static.wikia.nocookie.net/bluelock/images/9/99/Manshine_City_Official_Logo.png,Manshine City,90000000,Qualified,,#497f9e
Charles Chevalier,https://static.wikia.nocookie.net/bluelock/images/9/94/Charles_Chevalier_(manga).png,https://static.wikia.nocookie.net/bluelock/images/c/cf/Paris_X_Gen_Official_Logo.png,Paris X Gen,110000000,,,#294c7f
Meguru Bachira,https://static.wikia.nocookie.net/bluelock/images/f/f5/Meguru_Bachira.png,https://static.wikia.nocookie.net/bluelock/images/4/4a/Barcha_Official_Logo.png,FC Barcha,120000000,Qualified,,#a4a203
Alexis Ness,https://static.wikia.nocookie.net/bluelock/images/1/18/Alexis_Ness.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,130000000,,,#ac0002
Shoei Baro,https://static.wikia.nocookie.net/bluelock/images/f/f0/Shoei_Baro.png,https://static.wikia.nocookie.net/bluelock/images/5/5c/Ubers_Official_Logo.png,Ubers,150000000,Qualified,,#bbbbbb
Ryusei Shido,https://static.wikia.nocookie.net/bluelock/images/b/b3/Ryusei_Shido.png,https://static.wikia.nocookie.net/bluelock/images/c/cf/Paris_X_Gen_Official_Logo.png,Paris X Gen,160000000,Qualified,Highest single round increase: +¥144M (R3),#294c7f
Yoichi Isagi,https://static.wikia.nocookie.net/bluelock/images/3/39/Yoichi_Isagi.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,240000000,Qualified,Highest total increase: +¥223M,#ac0002
Rin Itoshi,https://static.wikia.nocookie.net/bluelock/images/1/12/Rin_Itoshi.png,https://static.wikia.nocookie.net/bluelock/images/c/cf/Paris_X_Gen_Official_Logo.png,Paris X Gen,240000000,Qualified,Highest initial value: ¥100M,#294c7f
Don Lorenzo,https://static.wikia.nocookie.net/bluelock/images/d/da/Don_Lorenzo.png,https://static.wikia.nocookie.net/bluelock/images/5/5c/Ubers_Official_Logo.png,Ubers,280000000,,,#bbbbbb
Michael Kaiser,https://static.wikia.nocookie.net/bluelock/images/f/f0/Michael_Kaiser.png,https://static.wikia.nocookie.net/bluelock/images/c/c2/Munchen_Official_Logo.png,Bastard München,400000000,,Highest current value,#ac0002






